"logtime","timestamp","game time","screen","game state","mapname","gametype","side","hero","group id","SR","highest SR","Eleminations","Objective Kills","Objective Time","Hero Damage Done","Healing Done","Deaths","Eleminations Medal","Objective Kills Medal","Objective Time Medal","Hero Damage Done Medal","Healing Done Medal","Stat name 1","Stat value 1","Stat name 2","Stat value 2","Stat name 3","Stat value 3","Stat name 4","Stat value 4","Stat name 5","Stat value 5","Stat name 6","Stat value 6","enemy hero 1","enemy hero 1 group id","enemy hero 2","enemy hero 2 group id","enemy hero 3","enemy hero 3 group id","enemy hero 4","enemy hero 4 group id","enemy hero 5","enemy hero 5 group id","enemy hero 6","enemy hero 6 group id","own team hero 1","own team hero 1 group id","own team hero 2","own team hero 2 group id","own team hero 3","own team hero 3 group id","own team hero 4","own team hero 4 group id","own team hero 5","own team hero 5 group id","own team hero 6","own team hero 6 group id"
"2018-03-27 16:15:43.0665831 +0200 CEST",1522160143066,"","MAIN","NONE","","","","",0,0,0,,,"",,,,"","","","","","",,"",,"",,"",,"",,"",,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"2018-03-27 16:16:52.5110941 +0200 CEST",1522160212511,"","MAIN","NONE","","","","",0,0,0,,,"",,,,"","","","","","",,"",,"",,"",,"",,"",,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"2018-03-27 16:17:08.5103969 +0200 CEST",1522160228510,"","MAIN","NONE","","","","",0,0,0,,,"",,,,"","","","","","",,"",,"",,"",,"",,"",,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"2018-03-27 16:17:11.7079986 +0200 CEST",1522160228510,"","OVERVIEW","NONE","","","","",0,1759,2032,,,"",,,,"","","","","","",,"",,"",,"",,"",,"",,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"2018-03-27 16:17:16.0323148 +0200 CEST",1522160236032,"","MAIN","NONE","","","","",0,1759,2032,,,"",,,,"","","","","","",,"",,"",,"",,"",,"",,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"2018-03-27 16:19:42.2983225 +0200 CEST",1522160236032,"0:00","TAB","START","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:00",0,0,0,"( )","( )","( )","( )","( )","Weapon Accuracy",0,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"",0,"",0,"",0,"",0,"",1,"",1,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",1,"Soldier 76",1
"2018-03-27 16:19:48.9092542 +0200 CEST",1522160236032,"0:00","TAB","START","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:00",0,0,0,"( )","( )","( )","( )","( )","Weapon Accuracy",0,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"",0,"",0,"",0,"",0,"",1,"",1,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",1,"Soldier 76",1
"2018-03-27 16:19:50.0455916 +0200 CEST",1522160236032,"0:00","TAB","START","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:00",0,0,0,"( )","( )","( )","( )","( )","Weapon Accuracy",0,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"",0,"",0,"",0,"",0,"",1,"",1,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",1,"Zenyatta",1
"2018-03-27 16:20:05.1536396 +0200 CEST",1522160236032,"0:08","TAB","RUN","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:00",0,0,0,"( )","( )","( )","( )","( )","Weapon Accuracy",0,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"",0,"",0,"",0,"",0,"",1,"",1,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",1,"Zenyatta",1
"2018-03-27 16:20:54.4897804 +0200 CEST",1522160236032,"0:57","TAB","RUN","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:01",431,0,1,"( )","( )","G","( )","( )","Weapon Accuracy",26,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"Lucio",0,"Junkrat",0,"Tracer",0,"Zenyatta",0,"Roadhog",1,"Zarya",1,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",1,"Zenyatta",1
"2018-03-27 16:21:01.0231093 +0200 CEST",1522160236032,"1:03","TAB","RUN","NEPAL","COMPETITIVE PLAY","","McCree",0,1759,2032,0,0,"00:01",431,0,1,"( )","( )","G","( )","( )","Weapon Accuracy",26,"Kill Streak - Best",0,"Final Blows",0,"Critical Hits",0,"Deadeye Kills",0,"Fan The Hammer Kill",0,"Lucio",0,"Junkrat",0,"Tracer",0,"Zenyatta",0,"Roadhog",0,"Zarya",0,"McCree",0,"Pharah",0,"Junkrat",0,"Roadhog",0,"Moira",0,"Zenyatta",0
